# w1 w2 "Data Height"
 16.48 0.837 90058.18
 23.23 0.863 678321.25
 22.21 0.866 40497.48
 23.36 0.919 653380.25
 22.34 0.919 36202.38
 24.5 0.942 85979.58
 13.94 0.942 64754.01
 23.74 0.958 248194.94
 24.76 0.971 293248.88
 23.61 0.991 85055.44
 19.41 0.994 421520.81
 17.5 1.011 98142.76
 25.01 1.037 218869.55
 20.81 1.047 401805.66
 20.81 1.149 496828.56
 32.53 1.201 39986.48
 20.81 1.204 123032.52
 34.56 1.211 49335.46
 18.01 1.218 52493.74
 32.4 1.221 137741.74
 25.4 1.244 37530.72
 32.4 1.257 48870.95
 25.4 1.257 34558.57
 32.02 1.306 42086.07
 22.98 1.309 42843.74
 21.96 1.336 351721.14
 22.98 1.339 3943804
 71.36 1.339 383706.44
 21.19 1.339 125293.05
 20.56 1.339 76341.82
 18.39 1.339 52174.45
 19.79 1.339 48186.92
 17.63 1.339 42544.03
 19.03 1.339 39751.3
 139.73 1.342 41365
 24.12 1.451 60815.59
 19.03 1.487 759704.63
 53.41 1.487 83948.52
 18.01 1.487 50498.32
 24.25 1.513 64540.78
 28.58 1.552 237878.38
 28.07 1.582 243797.98
 27.05 1.589 52507.87
 26.92 1.631 213539.31
 42.58 1.694 99922.15
 26.8 1.72 66775.75
 29.21 1.733 164482.58
 42.58 1.74 95726.34
 42.71 1.749 52684.45
 23.36 1.818 820056.31
 22.34 1.818 51815.66
 23.36 1.845 898007.25
 22.34 1.845 53047.38
 32.78 1.894 76244.36
 30.49 1.907 35437.6
 32.78 1.91 114734.99
 32.78 1.923 72289.96
 26.03 1.927 171630.61
 30.49 1.927 62912.81
 30.36 1.946 66757.34
 29.85 1.979 38756.89
 38.64 1.986 77240.26
 26.54 1.999 54435.92
 29.85 2.002 42406.94
 26.54 2.015 52058.77
 31.76 2.071 60459
 48.31 2.081 84816.47
 29.21 2.124 191464.65
 25.65 2.143 37702.15
 29.21 2.147 237648.3
 25.65 2.173 42750.67
 25.65 2.189 41168.18
 40.04 2.202 815161.63
 25.65 2.206 66286.25
 38.89 2.206 41714.32
 25.65 2.225 94709.7
 26.54 2.239 35672.4
 25.78 2.242 106337.7
 27.94 2.255 78144.09
 28.58 2.255 46510.43
 30.74 2.255 43523.64
 29.34 2.255 43220.86
 139.73 2.255 36914.59
 25.78 2.258 1063871.75
 26.54 2.258 162521.51
 27.18 2.258 137489.12
 31.89 2.258 86779.92
 114.27 2.258 59429.58
 35.84 2.258 45966.71
 32.91 2.258 39992.08
 40.16 2.258 39793.22
 36.6 2.258 38702.01
 34.43 2.258 35776.62
 38.13 2.258 34508.41
 39.15 2.262 45991.93
 51.24 2.262 45065.63
 52.13 2.262 41896.67
 109.05 2.262 34756.01
 4.39 2.265 43499.56
 108.03 2.265 35085.24
 8.21 2.268 85130.87
 57.48 2.268 76246.83
 109.3 2.268 68632.19
 7.32 2.268 66172.6
 55.19 2.268 62883.45
 51.5 2.268 51939.5
 52.39 2.268 50701.51
 113.88 2.268 48553.5
 5.15 2.268 45730.46
 122.54 2.268 45192.47
 63.97 2.268 42016.55
 86.38 2.268 37580.09
 138.58 2.268 36150.8
 25.01 2.271 66894388
 23.99 2.271 3642605.43
 15.34 2.271 292994.78
 139.86 2.271 217507.25
 13.17 2.271 171295.75
 11.01 2.271 156706.41
 8.72 2.271 140561.34
 11.77 2.271 134566.87
 10.24 2.271 100878.31
 79.89 2.271 79357.74
 120 2.271 67003.08
 53.15 2.271 63332.87
 68.3 2.271 62811.18
 125.47 2.271 55693.64
 59.01 2.271 53995.1
 55.95 2.271 49332.02
 23.36 2.275 1824530.06
 22.59 2.275 1043709.86
 21.83 2.275 725176.26
 21.19 2.275 635861.72
 20.43 2.275 445772.52
 19.67 2.275 368414.74
 19.03 2.275 324818.95
 18.27 2.275 277912.23
 16.1 2.275 277181.26
 13.94 2.275 271186.8
 17.5 2.275 233391.57
 16.86 2.275 206655.63
 14.57 2.275 203796.36
 12.41 2.275 155856.09
 9.48 2.275 117532.14
 86.64 2.275 88775.06
 126.11 2.275 84678.8
 58.12 2.275 78184.86
 124.07 2.275 70970.01
 90.97 2.275 60732.21
 80.78 2.275 58240.71
 65.5 2.275 55896.26
 127.63 2.275 51585.73
 74.29 2.275 47128.79
 123.18 2.275 47013.78
 82.18 2.275 44027.47
 84.47 2.275 42089.31
 90.33 2.275 39624.84
 131.2 2.275 37958.48
 71.49 2.275 36981.55
 118.85 2.278 63875.98
 59.64 2.278 61658.17
 129.03 2.278 52443.43
 126.87 2.278 51411.39
 53.66 2.278 47042.74
 70.59 2.278 38924.73
 64.48 2.278 37707.54
 119.49 2.281 85345.91
 124.71 2.281 84214.19
 115.92 2.281 57653.58
 82.56 2.281 56543.8
 128.02 2.281 42660.12
 0.44 2.284 165813.53
 115.28 2.284 106567.27
 131.71 2.284 72124.97
 116.56 2.284 55167.53
 129.29 2.284 34546.45
 31.89 2.288 183108.31
 26.92 2.288 47941.55
 82.82 2.288 43104.58
 30.49 2.288 40614.51
 26.29 2.291 60529.92
 26.16 2.301 75288.59
 26.92 2.301 42982.58
 115.16 2.301 37088.95
 25.14 2.307 566512.67
 25.01 2.321 570706.91
 25.01 2.337 223232.72
 139.6 2.337 53541.17
 25.01 2.35 211520.84
 36.22 2.353 73257.62
 31.76 2.36 88639.11
 25.14 2.363 286206.44
 48.44 2.363 38740.76
 25.01 2.38 253646.4
 25.14 2.393 216615.74
 48.44 2.393 37805.59
 25.14 2.409 205393.32
 32.4 2.409 116879.53
 48.44 2.416 44453.31
 25.14 2.422 155368.34
 25.01 2.439 161261.61
 45.77 2.445 102503.96
 36.47 2.449 374036.09
 25.14 2.452 132848.74
 48.44 2.458 66651.43
 33.67 2.462 474439.51
 25.14 2.465 137874.86
 48.31 2.475 71780.44
 25.14 2.481 134879.56
 25.14 2.495 117663.06
 25.14 2.511 122009.21
 48.31 2.521 7320724.18
 47.29 2.521 368047.81
 46.53 2.521 147536.88
 45.89 2.521 90057.18
 44.37 2.521 54981.19
