# w1 w2 "Data Height"
 56.45 3.685 36326.53
 63.81 3.688 60974.87
 57.72 3.688 22319.35
 66.22 3.692 24911.81
 79.04 3.695 18546.27
 77.01 3.698 52225.01
 78.02 3.698 32853.53
 59.87 3.698 23886.95
 72.56 3.705 49693.25
 75.74 3.708 762746.51
 76.5 3.708 43867.54
 74.47 3.711 76124.17
 66.47 3.711 19822.58
 77.39 3.711 19081.17
 78.78 3.714 61719.1
 63.68 3.718 872429.38
 65.46 3.718 32814.67
 76.75 3.721 61221.3
 72.56 3.721 34225.8
 77.77 3.721 25104.85
 75.74 3.724 154585.7
 66.98 3.724 20739.67
 64.95 3.728 58077.11
 65.97 3.728 25957.44
 63.68 3.731 506150.25
 78.78 3.731 56000.91
 64.44 3.734 30798.98
 65.58 3.734 24435.82
 53.53 3.747 111223.2
 75.74 3.75 18287.9
 63.43 3.754 142097.26
 72.44 3.757 34312.67
 74.47 3.757 31470.11
 75.61 3.763 25967.21
 62.16 3.77 33837.49
 64.82 3.77 33444.9
 65.97 3.77 23559.37
 63.43 3.773 311136.68
 74.47 3.773 28345.41
 65.2 3.777 19416.34
 75.23 3.78 19965
 74.98 3.786 21465.68
 70.53 3.79 32364.03
 63.81 3.799 30375.76
 74.21 3.813 286668.05
 65.33 3.813 22166
 75.23 3.816 65522.57
 83.48 3.819 19489.13
 74.21 3.822 741245.5
 79.04 3.826 19731.29
 72.56 3.829 40584.07
 65.33 3.829 28061.64
 63.43 3.832 648632.71
 74.21 3.832 431962.28
 65.58 3.835 36987.6
 75.23 3.835 27425.78
 65.46 3.845 18389.7
 63.43 3.849 321238.83
 58.1 3.849 28392.72
 75.1 3.862 20098.45
 59.37 3.862 20008
 63.94 3.865 54543.54
 72.56 3.868 28118.11
 70.79 3.878 81051.52
 64.95 3.885 29423.75
 74.98 3.885 20486.79
 63.68 3.888 1077648.75
 72.56 3.888 26853.71
 66.35 3.888 20747.26
 78.91 3.891 28187.97
 68.88 3.894 25729.87
 63.55 3.901 813729.73
 64.95 3.904 48904.68
 72.69 3.911 155464.84
 74.34 3.911 45504.48
 56.7 3.927 49446.43
 59.37 3.93 29973.83
 73.58 3.934 31353.3
 72.31 3.937 43674.87
 74.47 3.973 17708.49
 58.22 3.976 27377.06
 71.93 3.979 67739.31
 63.68 3.979 38341.73
 72.06 3.999 73232.56
 76.37 3.999 19601.63
 66.22 4.009 26841.04
 75.23 4.022 29377.94
 72.06 4.042 39608.57
 24.98 4.048 18570.91
 59.24 4.051 49687.64
 75.23 4.064 30958.13
 68.25 4.078 27709.15
 71.42 4.114 711013.88
 72.44 4.117 67664.36
 22.95 4.117 26814.02
 64.06 4.12 61043.96
 73.45 4.12 24097.62
 70.15 4.15 43865.61
 61.52 4.163 17477.17
 14.7 4.166 18034.41
 61.27 4.176 28132.18
 53.02 4.179 17558.75
 98.83 4.205 53082.15
 71.42 4.208 17693.72
 103.27 4.248 18137.58
 1.12 4.254 19462.72
 38.17 4.254 17633.21
 74.34 4.257 20517.59
 106.83 4.274 17950.46
 62.29 4.277 29328.73
 71.17 4.287 17557.19
 72.56 4.297 20921.31
 32.72 4.3 20316.15
 123.58 4.3 18949.52
 62.29 4.307 21565.32
 100.48 4.307 17484.52
 38.17 4.31 18187.4
 83.73 4.316 21385.23
 139.19 4.316 20114.37
 69.26 4.32 23730.82
 79.04 4.32 22187.69
 86.02 4.323 18717.39
 73.45 4.326 20662.74
 6.45 4.339 17535.81
 82.21 4.369 18398.61
 113.81 4.378 19356.45
 115.84 4.408 24447.47
 83.6 4.418 19451.76
 7.72 4.418 18804.48
 38.05 4.424 24288.77
 2.01 4.424 19163.8
 115.96 4.434 18036.09
 108.86 4.441 22372.08
 72.44 4.454 26741
 0.87 4.457 19082.87
 106.83 4.464 23645.34
 139.19 4.464 19898.26
 50.99 4.464 18966.41
 48.96 4.464 18769.88
 26.5 4.467 19012.21
 78.27 4.467 18679.35
 130.3 4.467 17826.52
 115.96 4.47 22643.97
 16.35 4.47 21539.36
