#       w          Data Heig
                
   66.257 3.6929       26945
   66.114 4.0239       18460
   66.041 4.0079       27472
   66.179 3.9839       17489
   66.038 3.8849       32586
   65.951 3.8529       13591
   65.965 3.7769       18233
   65.803 3.8989       23935
   65.821 3.7249       28745
   65.752 3.6219       15500
   65.393 3.8329       38868
   65.469 3.5879       35246
   65.395 3.5509       24319
   65.301 3.7599       22543
   65.296 3.7299       27756
   65.243 3.7169       36201
   65.334 3.6559       44303
   65.254 3.6449       44008
   65.315 3.5609       28132
   64.716 3.8999       57199
   64.736 3.7679       47117
   64.789 3.7239       61537
   64.443 3.8849       69133
   64.499 3.8329       33036
   64.423 3.7549       25595
   63.968 4.1179       59822
    63.82 3.4199       41529
   63.499 4.0819       21221
   63.554 3.9759       35595
   63.535 3.9509       15484
   63.652 3.8649       96593
   63.612 3.7989       46859
   63.477 3.7169      762612
   63.584 3.6889      110374
   63.604 3.6759       88590
   63.592 3.6209       30328
   63.476 3.5859       22773
   63.621 3.5169       21499
   63.477 3.4599       57677
   63.344 4.2679       15769
   63.432 4.1459       17280
   63.452 3.9219       38007
   63.421 3.8979      816134
   63.464 3.8859     1008682
   63.318 3.8289      688702
     63.3 3.7639      492658
   63.387 3.5419      134339
   62.453 3.6109       19443
    62.15 4.2759       30025
   62.167 3.7239       29433
   61.944 3.7689       43474
   61.129 2.2529       18299
   60.967 4.1759       30635
   60.945 3.7689       15778
   60.353 0.1249       13556
   59.706 3.6959       22432
   59.102 4.0479       42700
   59.099 3.9289       29382
   59.251 3.8579       19977
   59.236 3.8259       15729
   58.109 3.9729       27843
   57.943 3.8439       27709
   57.982 3.2099       16232
   57.565 3.6599       85554
    57.61 2.2609       15944
   57.356 3.6149      208005
   57.024 3.2569       13821
   57.153 2.9059       17025
   57.086 1.7249       12879
   56.716 3.2159      221285
   56.575 3.9239       45063
   56.595 3.2049      231449
   56.309 3.6829       32455
   56.038 3.2559       89063
   55.342 3.2119       17994
   55.531 2.7939       14070
   55.183 3.8049       14208
   55.183 2.5079       13122
   54.847 3.2909       19952
   54.773 2.5279       16483
   54.645 3.7469       13780
   54.075 2.5119       15137
   53.423 3.7459      111155
   53.465 1.4519       19150
   53.173 2.6719       16808
   52.903 4.1779       18491
   52.949 4.0169       12811
   52.848 2.5259       26394
   52.458 4.1659       14823
   52.442-1.8541       13194
   52.072 2.6549       25954
   51.685 3.3509      263727
   51.583 2.5099       28314
   51.282 2.6749       21341
   51.163 2.5259       31810
     50.8 2.6089       16547
   50.157 2.6749       35060
   48.817 3.4079       22796
   48.826 3.3249       23452
   48.443 2.9839       17415
    48.52 2.7509       13759
    48.29 3.5439       12895
   48.364 3.0939       27922
   48.241 2.9969       15090
   48.293 2.9379       14102
   48.369 2.8749       13301
   48.309 2.8539       25337
   48.228 2.8319       49502
   48.335 2.7799       18633
    48.37 2.7679       17760
   48.418 2.7359       16873
   48.314 2.7059       59876
   48.208 2.6739     1371804
   48.203 2.6549     1935796
   48.358 2.6359       77872
   48.402 2.6189       28590
   48.241 2.5259     1838699
   48.243 2.5089     1691143
   48.316 2.4739       82542
   48.357 2.4099       20580
   48.292 2.3279       44657
   45.939 4.2619       13306
   45.877 2.2519       13179
   45.549 2.4279       18887
   44.565 3.5189      100712
   43.327 3.2269       23148
   43.004 1.6999       26889
   42.879 1.6489       13821
   42.017 3.0139       73988
   39.874 2.1879      175682
    39.61 3.0279       25207
   38.686 1.9489       13600
   38.817 1.9349       17281
   37.906 4.2519       20692
   37.937 4.1929       14424
   37.902 4.1729       14076
   37.984 4.1129       13682
   36.358 2.4369       82907
   36.261 2.3169       21435
   36.231 2.2669       18887
   34.683 4.2359       16432
   34.612 4.0889       14024
   34.489 2.3129       28575
   34.587 1.2089       15749
    34.58 0.1339       13596
   34.477 2.3239       26611
   34.074 1.2469       20465
   33.804 2.4009       98756
   33.386 1.8739       13138
   33.349 1.8419       20519
   33.297 1.3009       13536
   32.918 3.0339       25762
   32.497 4.2299       13413
   32.312 2.3919       30868
   32.505 2.2589       15980
   32.398 1.2179       52200
   32.079 2.2229       29312
    32.24 1.2889       14448
   31.801 2.3329       14652
   32.009 1.3139       19073
   31.745 2.0409       13392
   31.452 1.8399       21074
   31.328 1.5569       14414
   30.739 4.0769       13512
   30.671 4.0529       16244
   30.798 2.2659       17716
    30.58 3.5439       15654
   30.466 3.0339       12805
   30.385 2.0679       38447
   30.283 4.2009       14858
   30.363 2.0239       37844
   30.009 4.2379       13187
   29.955 2.2529       18182
   29.709 2.2089       13987
   29.691 1.9879       15895
   29.696 1.9739       16110
     29.4 2.2529       18317
   29.445 1.7279       12811
   29.192 1.7039       21451
   28.467 1.5399       47208
   28.312 4.1709       13024
   28.256 2.3399       14803
   28.308 2.3259       15159
       28 2.7519       16851
   28.069 2.2569       44112
   27.837 2.3549       15863
   27.864 1.5729       48076
